"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"160",537,"S","Rooibos tea",1.92,2.277,0.357,1.316,"Fortier","45","Conventional","N-21-0-0",30,1,46.583,0.93804,0.0664,0.9176
"161",538,"S","Rooibos tea",1.912,2.274,0.361,1.369,"Fortier","45","Conventional","N-21-0-0",30,2,44.983,0.82848,0.0849,0.913776667
"162",539,"S","Rooibos tea",1.924,2.279,0.355,1.389,"Fortier","45","Conventional","N-21-0-0",30,2,44.722,0.88329,0.0838,0.919511667
"163",540,"S","Rooibos tea",1.903,2.262,0.359,1.5,"Fortier","45","Conventional","N-21-0-0",30,2,44.727,0.9086,0.073,0.909475417
"164",541,"S","Rooibos tea",1.924,2.276,0.352,1.304,"Fortier","45","Conventional","N-21-0-0",45,1,46.833,0.97446,0.0933,0.919511667
"165",542,"S","Rooibos tea",1.893,2.253,0.359,1.458,"Fortier","45","Conventional","N-21-0-0",45,1,45.34,1.0204,0.0787,0.90469625
"166",543,"S","Rooibos tea",1.923,2.278,0.355,1.47,"Fortier","45","Conventional","N-21-0-0",45,1,50.215,1.0171,0.161,0.91903375
"167",544,"S","Rooibos tea",1.91,2.275,0.365,1.445,"Fortier","45","Conventional","N-21-0-0",45,2,45.395,1.0093,0.0795,0.912820833
"168",545,"S","Rooibos tea",1.915,2.275,0.361,1.435,"Fortier","45","Conventional","N-21-0-0",45,2,44.406,0.98229,0.088,0.915210417
"169",546,"S","Rooibos tea",1.91,2.266,0.356,1.43,"Fortier","45","Conventional","N-21-0-0",45,2,45.959,1.0391,0.0953,0.912820833
"170",547,"S","Rooibos tea",1.891,2.247,0.356,1.437,"Fortier","45","Conventional","N-21-0-0",60,1,47.543,0.96472,0.0815,0.903740417
"171",548,"S","Rooibos tea",1.9,2.26,0.36,1.228,"Fortier","45","Conventional","N-21-0-0",60,1,46.787,0.98781,0.0866,0.908041667
"172",549,"S","Rooibos tea",1.913,2.278,0.364,1.389,"Fortier","45","Conventional","N-21-0-0",60,1,45.24,1.0139,0.095,0.914254583
"173",550,"S","Rooibos tea",1.907,2.264,0.357,1.341,"Fortier","45","Conventional","N-21-0-0",60,2,48.123,0.92958,0.102,0.911387083
"174",551,"S","Rooibos tea",1.918,2.269,0.352,1.391,"Fortier","45","Conventional","N-21-0-0",60,2,45.65,1.0164,0.0869,0.916644167
"175",552,"S","Rooibos tea",1.905,2.253,0.348,1.384,"Fortier","45","Conventional","N-21-0-0",60,2,47.642,1.0902,0.0888,0.91043125
"176",793,"S","Rooibos tea",1.915,2.273,0.359,1.268,"Fortier","9","Conventional","N-6-1-1",30,2,46.973,0.84612,0.0408,0.915210417
"177",794,"S","Rooibos tea",1.926,2.293,0.366,1.369,"Fortier","9","Conventional","N-6-1-1",30,2,43.042,0.73255,0.0236,0.9204675
"178",795,"S","Rooibos tea",1.923,2.285,0.362,1.273,"Fortier","9","Conventional","N-6-1-1",45,2,47.308,1.1222,0.0435,0.91903375
